hour,pv,P_pv_kW
0,pv011,0.0
0,pv012,0.0
0,pv013,0.0
0,pv014,0.0
0,pv021,0.0
0,pv022,0.0
0,pv023,0.0
0,pv024,0.0
0,pv031,0.0
0,pv032,0.0
0,pv033,0.0
0,pv034,0.0
0,pv041,0.0
0,pv042,0.0
0,pv043,0.0
0,pv044,0.0
0,pv051,0.0
0,pv052,0.0
0,pv053,0.0
0,pv054,0.0
0,pv061,0.0
0,pv062,0.0
0,pv063,0.0
0,pv064,0.0
0,pv071,0.0
0,pv072,0.0
0,pv073,0.0
0,pv074,0.0
0,pv081,0.0
0,pv082,0.0
0,pv083,0.0
0,pv084,0.0
0,pv091,0.0
0,pv092,0.0
0,pv093,0.0
0,pv094,0.0
0,pv101,0.0
0,pv102,0.0
0,pv103,0.0
0,pv104,0.0
0,pv111,0.0
0,pv112,0.0
0,pv113,0.0
0,pv114,0.0
1,pv011,0.0
1,pv012,0.0
1,pv013,0.0
1,pv014,0.0
1,pv021,0.0
1,pv022,0.0
1,pv023,0.0
1,pv024,0.0
1,pv031,0.0
1,pv032,0.0
1,pv033,0.0
1,pv034,0.0
1,pv041,0.0
1,pv042,0.0
1,pv043,0.0
1,pv044,0.0
1,pv051,0.0
1,pv052,0.0
1,pv053,0.0
1,pv054,0.0
1,pv061,0.0
1,pv062,0.0
1,pv063,0.0
1,pv064,0.0
1,pv071,0.0
1,pv072,0.0
1,pv073,0.0
1,pv074,0.0
1,pv081,0.0
1,pv082,0.0
1,pv083,0.0
1,pv084,0.0
1,pv091,0.0
1,pv092,0.0
1,pv093,0.0
1,pv094,0.0
1,pv101,0.0
1,pv102,0.0
1,pv103,0.0
1,pv104,0.0
1,pv111,0.0
1,pv112,0.0
1,pv113,0.0
1,pv114,0.0
2,pv011,0.0
2,pv012,0.0
2,pv013,0.0
2,pv014,0.0
2,pv021,0.0
2,pv022,0.0
2,pv023,0.0
2,pv024,0.0
2,pv031,0.0
2,pv032,0.0
2,pv033,0.0
2,pv034,0.0
2,pv041,0.0
2,pv042,0.0
2,pv043,0.0
2,pv044,0.0
2,pv051,0.0
2,pv052,0.0
2,pv053,0.0
2,pv054,0.0
2,pv061,0.0
2,pv062,0.0
2,pv063,0.0
2,pv064,0.0
2,pv071,0.0
2,pv072,0.0
2,pv073,0.0
2,pv074,0.0
2,pv081,0.0
2,pv082,0.0
2,pv083,0.0
2,pv084,0.0
2,pv091,0.0
2,pv092,0.0
2,pv093,0.0
2,pv094,0.0
2,pv101,0.0
2,pv102,0.0
2,pv103,0.0
2,pv104,0.0
2,pv111,0.0
2,pv112,0.0
2,pv113,0.0
2,pv114,0.0
3,pv011,0.0
3,pv012,0.0
3,pv013,0.0
3,pv014,0.0
3,pv021,0.0
3,pv022,0.0
3,pv023,0.0
3,pv024,0.0
3,pv031,0.0
3,pv032,0.0
3,pv033,0.0
3,pv034,0.0
3,pv041,0.0
3,pv042,0.0
3,pv043,0.0
3,pv044,0.0
3,pv051,0.0
3,pv052,0.0
3,pv053,0.0
3,pv054,0.0
3,pv061,0.0
3,pv062,0.0
3,pv063,0.0
3,pv064,0.0
3,pv071,0.0
3,pv072,0.0
3,pv073,0.0
3,pv074,0.0
3,pv081,0.0
3,pv082,0.0
3,pv083,0.0
3,pv084,0.0
3,pv091,0.0
3,pv092,0.0
3,pv093,0.0
3,pv094,0.0
