t,pv,P_pv_kW
0,pv011,3159.978942938778
0,pv012,3159.978942938778
0,pv013,3159.978942938778
0,pv014,3159.978942938778
0,pv021,3159.978942938778
0,pv022,3159.978942938778
0,pv023,3159.978942938778
0,pv024,3159.978942938778
0,pv031,3159.978942938778
0,pv032,3159.978942938778
0,pv033,3159.978942938778
0,pv034,3159.978942938778
0,pv041,3159.978942938778
0,pv042,3159.978942938778
0,pv043,3159.978942938778
0,pv044,3159.978942938778
0,pv051,3159.978942938778
0,pv052,3159.978942938778
0,pv053,3159.978942938778
0,pv054,3159.978942938778
0,pv061,947.9936828816334
0,pv062,947.9936828816334
0,pv063,947.9936828816334
0,pv064,947.9936828816334
0,pv071,947.9936828816334
0,pv072,947.9936828816334
0,pv073,947.9936828816334
0,pv074,947.9936828816334
0,pv081,947.9936828816334
0,pv082,947.9936828816334
0,pv083,947.9936828816334
0,pv084,947.9936828816334
0,pv091,947.9936828816334
0,pv092,947.9936828816334
0,pv093,947.9936828816334
0,pv094,947.9936828816334
0,pv101,947.9936828816334
0,pv102,947.9936828816334
0,pv103,947.9936828816334
0,pv104,947.9936828816334
0,pv111,947.9936828816334
0,pv112,947.9936828816334
0,pv113,947.9936828816334
0,pv114,947.9936828816334
1,pv011,3128.0497299240646
1,pv012,3128.0497299240646
1,pv013,3128.0497299240646
1,pv014,3128.0497299240646
1,pv021,3128.0497299240646
1,pv022,3128.0497299240646
1,pv023,3128.0497299240646
1,pv024,3128.0497299240646
1,pv031,3128.0497299240646
1,pv032,3128.0497299240646
1,pv033,3128.0497299240646
1,pv034,3128.0497299240646
1,pv041,3128.0497299240646
1,pv042,3128.0497299240646
1,pv043,3128.0497299240646
1,pv044,3128.0497299240646
1,pv051,3128.0497299240646
1,pv052,3128.0497299240646
1,pv053,3128.0497299240646
1,pv054,3128.0497299240646
1,pv061,938.4149189772194
1,pv062,938.4149189772194
1,pv063,938.4149189772194
1,pv064,938.4149189772194
1,pv071,938.4149189772194
1,pv072,938.4149189772194
1,pv073,938.4149189772194
1,pv074,938.4149189772194
1,pv081,938.4149189772194
