hour,reg,V_pu
0,reg1,1.025721900708066
0,reg2,1.025721900708066
0,reg3,1.025721900708066
1,reg1,1.025721900708066
1,reg2,1.025721900708066
1,reg3,1.025721900708066
2,reg1,1.025721900708066
2,reg2,1.025721900708066
2,reg3,1.025721900708066
3,reg1,1.025721900708066
3,reg2,1.025721900708066
3,reg3,1.025721900708066
4,reg1,1.025721900708066
4,reg2,1.025721900708066
4,reg3,1.025721900708066
5,reg1,1.025721900708066
5,reg2,1.025721900708066
5,reg3,1.025721900708066
6,reg1,1.025721900708066
6,reg2,1.025721900708066
6,reg3,1.025721900708066
7,reg1,1.025721900708066
7,reg2,1.025721900708066
7,reg3,1.025721900708066
8,reg1,1.025721900708066
8,reg2,1.025721900708066
8,reg3,1.025721900708066
9,reg1,1.025721900708066
9,reg2,1.025721900708066
9,reg3,1.025721900708066
10,reg1,1.025721900708066
10,reg2,1.025721900708066
10,reg3,1.025721900708066
11,reg1,1.025721900708066
11,reg2,1.025721900708066
11,reg3,1.025721900708066
12,reg1,1.025721900708066
12,reg2,1.025721900708066
12,reg3,1.025721900708066
13,reg1,1.025721900708066
13,reg2,1.025721900708066
13,reg3,1.025721900708066
14,reg1,1.025721900708066
14,reg2,1.025721900708066
14,reg3,1.025721900708066
15,reg1,1.025721900708066
15,reg2,1.025721900708066
15,reg3,1.025721900708066
16,reg1,1.025721900708066
16,reg2,1.025721900708066
16,reg3,1.025721900708066
17,reg1,1.025721900708066
17,reg2,1.025721900708066
17,reg3,1.025721900708066
18,reg1,1.025721900708066
18,reg2,1.025721900708066
18,reg3,1.025721900708066
19,reg1,1.025721900708066
19,reg2,1.025721900708066
19,reg3,1.025721900708066
20,reg1,1.025721900708066
20,reg2,1.025721900708066
20,reg3,1.025721900708066
21,reg1,1.025721900708066
21,reg2,1.025721900708066
21,reg3,1.025721900708066
22,reg1,1.025721900708066
22,reg2,1.025721900708066
22,reg3,1.025721900708066
23,reg1,1.025721900708066
23,reg2,1.025721900708066
23,reg3,1.025721900708066
24,reg1,1.025721900708066
24,reg2,1.025721900708066
24,reg3,1.025721900708066
25,reg1,1.025721900708066
25,reg2,1.025721900708066
25,reg3,1.025721900708066
26,reg1,1.025721900708066
26,reg2,1.025721900708066
26,reg3,1.025721900708066
27,reg1,1.025721900708066
27,reg2,1.025721900708066
27,reg3,1.025721900708066
28,reg1,1.025721900708066
28,reg2,1.025721900708066
28,reg3,1.025721900708066
29,reg1,1.025721900708066
29,reg2,1.025721900708066
29,reg3,1.025721900708066
30,reg1,1.025721900708066
30,reg2,1.025721900708066
30,reg3,1.025721900708066
31,reg1,1.025721900708066
31,reg2,1.025721900708066
31,reg3,1.025721900708066
32,reg1,1.025721900708066
32,reg2,1.025721900708066
32,reg3,1.025721900708066
33,reg1,1.025721900708066
33,reg2,1.025721900708066
33,reg3,1.025721900708066
34,reg1,1.025721900708066
34,reg2,1.025721900708066
34,reg3,1.025721900708066
35,reg1,1.025721900708066
35,reg2,1.025721900708066
35,reg3,1.025721900708066
36,reg1,1.025721900708066
36,reg2,1.025721900708066
36,reg3,1.025721900708066
37,reg1,1.025721900708066
37,reg2,1.025721900708066
37,reg3,1.025721900708066
38,reg1,1.025721900708066
38,reg2,1.025721900708066
38,reg3,1.025721900708066
39,reg1,1.025721900708066
39,reg2,1.025721900708066
39,reg3,1.025721900708066
40,reg1,1.025721900708066
40,reg2,1.025721900708066
40,reg3,1.025721900708066
41,reg1,1.025721900708066
41,reg2,1.025721900708066
41,reg3,1.025721900708066
42,reg1,1.025721900708066
42,reg2,1.025721900708066
42,reg3,1.025721900708066
43,reg1,1.025721900708066
43,reg2,1.025721900708066
43,reg3,1.025721900708066
44,reg1,1.025721900708066
44,reg2,1.025721900708066
44,reg3,1.025721900708066
45,reg1,1.025721900708066
45,reg2,1.025721900708066
45,reg3,1.025721900708066
46,reg1,1.025721900708066
46,reg2,1.025721900708066
46,reg3,1.025721900708066
47,reg1,1.025721900708066
47,reg2,1.025721900708066
47,reg3,1.025721900708066
48,reg1,1.025721900708066
48,reg2,1.025721900708066
48,reg3,1.025721900708066
49,reg1,1.025721900708066
49,reg2,1.025721900708066
49,reg3,1.025721900708066
50,reg1,1.025721900708066
50,reg2,1.025721900708066
50,reg3,1.025721900708066
51,reg1,1.025721900708066
51,reg2,1.025721900708066
51,reg3,1.025721900708066
52,reg1,1.025721900708066
52,reg2,1.025721900708066
52,reg3,1.025721900708066
53,reg1,1.025721900708066
53,reg2,1.025721900708066
53,reg3,1.025721900708066
54,reg1,1.025721900708066
54,reg2,1.025721900708066
54,reg3,1.025721900708066
55,reg1,1.025721900708066
55,reg2,1.025721900708066
55,reg3,1.025721900708066
56,reg1,1.025721900708066
56,reg2,1.025721900708066
56,reg3,1.025721900708066
57,reg1,1.025721900708066
57,reg2,1.025721900708066
57,reg3,1.025721900708066
58,reg1,1.025721900708066
58,reg2,1.025721900708066
58,reg3,1.025721900708066
59,reg1,1.025721900708066
59,reg2,1.025721900708066
59,reg3,1.025721900708066
60,reg1,1.025721900708066
